ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_23024,Bacteria,Firmicutes,Bacilli,NA,NA,NA
ASV_23025,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
ASV_23026,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_23027,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus
ASV_23028,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_23029,Bacteria,Firmicutes,Bacilli,NA,NA,NA
ASV_23030,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,NA
ASV_23031,Bacteria,Firmicutes,Bacilli,NA,NA,NA
ASV_23032,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,NA
ASV_23033,Bacteria,Firmicutes,Bacilli,Lactobacillales,NA,NA
ASV_23034,Bacteria,NA,NA,NA,NA,NA
ASV_23035,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV_23036,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NA
ASV_23037,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_23038,Bacteria,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,NA,NA
ASV_23039,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,SS1-B-09-64
ASV_23040,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,NA
ASV_23041,Bacteria,Cyanobacteria,Oxyphotobacteria,NA,NA,NA
ASV_23042,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA
ASV_23043,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade
ASV_23044,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV_23045,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA
ASV_23046,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA
ASV_23047,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
ASV_23048,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
